text,category
wifi coverage is poor,Internet
router not syncing properly,Internet
internet is fluctuating,Internet

Experiencing severe packet loss and latency issues,Internet
Frequent disconnections observed in fiber connection,Internet
LOS indicator showing red continuously,Internet
Network throughput is significantly degraded,Internet
Intermittent connectivity affecting service quality,Internet
High latency impacting real-time applications,Internet
Fiber link appears to be down,Internet
Router not establishing stable connection,Internet
Bandwidth performance is inconsistent,Internet
Connection experiencing periodic drops,Internet
Network response time is extremely slow,Internet
Service outage detected in the area,Internet
Wireless network signal strength is inadequate,Internet
Connectivity instability observed during peak hours,Internet
Router synchronization failure detected,Internet

yar bill pay kar diya phir bhi net nahi chal raha,Billing
mera bill bohat zyada aya hai,Billing
static ip ka extra charge lag gaya,Billing
duplicate bill generate ho gaya hai,Billing
payment show nahi ho rahi system mein,Billing
late fee kyun lag gayi hai,Billing
bill mein extra charges hain,Billing
discount apply nahi hua,Billing
auto debit fail ho gaya,Billing
bill due date extend karni hai,Billing
bill email par nahi aya,Billing
payment ke baad bhi service band hai,Billing
refund karwana hai,Billing
bill ka amount galat hai,Billing
extra tax deduct ho gaya,Billing
bill clear hai phir bhi net band hai,Billing
duplicate charges lag gaye,Billing
payment confirm nahi ho rahi,Billing
bill generate nahi hua,Billing
invoice missing hai,Billing
billing ka issue hai,Billing
charges zyada hain,Billing
bill wrong hai,Billing
payment delay show ho rahi,Billing
bill adjust karwana hai,Billing
tax issue hai,Billing
bill verify karna hai,Billing
charges remove karein,Billing
billing complaint hai,Billing
extra billing ho gayi,Billing
payment ho chuki hai,Billing
bill update nahi ho raha,Billing
bill ka masla hai,Billing
charges clear karein,Billing

my bill is too high,Billing
payment is not reflecting,Billing
bill amount is incorrect,Billing
charged extra tax,Billing
invoice not received,Billing
payment already done but service suspended,Billing
billing issue needs resolution,Billing
incorrect billing charges applied,Billing
refund required,Billing
late fee applied incorrectly,Billing

Discrepancy observed in the latest invoice,Billing
Static IP charges incorrectly applied,Billing
Payment not reflecting in billing system,Billing
Service suspended despite payment clearance,Billing
Kindly review the billing statement,Billing
Incorrect taxation applied on invoice,Billing
Billing system not updating payment status,Billing
Unexpected additional charges in invoice,Billing
Requesting invoice correction,Billing
Need clarification regarding billing components,Billing

yar router jal gaya hai naya lagwana hai,Customer Care Call
ghar shift kiya hai connection transfer karna hai,Customer Care Call
wifi password change nahi ho raha,Customer Care Call
technician visit schedule karni hai,Customer Care Call
router configure karna hai,Customer Care Call
naya connection lagwana hai,Customer Care Call
old router replace karwana hai,Customer Care Call
admin panel access nahi ho raha,Customer Care Call
ont device issue kar rahi hai,Customer Care Call
wifi name change karna hai,Customer Care Call
support team se baat karni hai,Customer Care Call
complaint register karwani hai,Customer Care Call
installation status check karna hai,Customer Care Call
device overheating ho raha hai,Customer Care Call
ethernet port kaam nahi kar raha,Customer Care Call
router install karwana hai,Customer Care Call
wifi setup karna hai,Customer Care Call
technician bhejein,Customer Care Call
connection relocate karna hai,Customer Care Call
device replace karna hai,Customer Care Call
router issue check karwana hai,Customer Care Call
support call arrange karein,Customer Care Call
installation pending hai,Customer Care Call
wifi configure nahi ho raha,Customer Care Call
admin login nahi ho raha,Customer Care Call
router reset karwana hai,Customer Care Call
connection shift karwana hai,Customer Care Call
new device chahiye,Customer Care Call
support required hai,Customer Care Call
complaint lodge karni hai,Customer Care Call

i want to change wifi password,Customer Care Call
need technician visit,Customer Care Call
router needs replacement,Customer Care Call
need new connection,Customer Care Call
device not working properly,Customer Care Call
need support assistance,Customer Care Call
installation not completed,Customer Care Call
need to relocate connection,Customer Care Call
router configuration help needed,Customer Care Call
admin panel not accessible,Customer Care Call

Kindly arrange technician visit for router issue,Customer Care Call
Requesting ONT device relocation,Customer Care Call
Need assistance with router configuration,Customer Care Call
Installation process is still pending,Customer Care Call
Require support for device replacement,Customer Care Call
Unable to access admin configuration panel,Customer Care Call
Requesting service team intervention,Customer Care Call
Need professional assistance for setup,Customer Care Call
Please schedule technical support visit,Customer Care Call
Device malfunction requires replacement,Customer Care Call
